date, L Income, L 2020, L 2030, L 2040, L 2050, G Fund, F Fund, C Fund, S Fund, I Fund, 
11/24/17,19.4237,26.6253,30.2784,32.9077,19.0287,15.5033,18.0844,36.5394,47.626,30.4089, 
11/22/17,19.4068,26.5849,30.2027,32.8111,18.9653,15.5013,18.0978,36.4626,47.5404,30.1435, 
11/21/17,19.3993,26.5702,30.1787,32.7814,18.9468,15.5003,18.0555,36.4867,47.5589,30.0002, 
11/20/17,19.3736,26.5084,30.0626,32.6328,18.8492,15.4993,18.04,36.2491,47.1481,29.879, 
11/17/17,19.3647,26.4893,30.0284,32.5891,18.8202,15.4962,18.0499,36.2014,46.9125,29.8486, 
11/16/17,19.3663,26.4946,30.0391,32.6019,18.8279,15.4952,18.0425,36.2957,46.7103,29.8401, 
11/15/17,19.3344,26.415,29.8862,32.4053,18.6981,15.4942,18.0598,35.9895,46.1516,29.6547, 
11/14/17,19.3513,26.4609,29.9778,32.5234,18.7764,15.4932,18.0252,36.1811,46.36,29.8152, 
11/13/17,19.3556,26.4741,30.0056,32.5599,18.8009,15.4922,18.0076,36.259,46.4796,29.8223, 
11/10/17,19.3579,26.4842,30.029,32.5911,18.8219,15.4892,18.0049,36.2226,46.455,30.0236, 
11/9/17,19.3636,26.4952,30.0464,32.6122,18.8345,15.4882,18.0697,36.2425,46.4065,30.0696, 
11/8/17,19.3797,26.5356,30.1238,32.7117,18.8998,15.4872,18.0887,36.3701,46.635,30.2122, 
11/7/17,19.373,26.519,30.092,32.671,18.8728,15.4862,18.1068,36.317,46.558,30.1386, 
11/6/17,19.376,26.5288,30.114,32.7014,18.8943,15.4852,18.0999,36.3238,46.9565,30.1221, 
11/3/17,19.368,26.5144,30.0915,32.6738,18.8768,15.4821,18.077,36.2743,46.8185,30.1451, 
11/2/17,19.3622,26.5015,30.0687,32.6454,18.8586,15.4811,18.073,36.1591,46.751,30.224, 
11/1/17,19.3559,26.4889,30.0474,32.6187,18.8417,15.4801,18.0483,36.1483,46.7103,30.1559, 
10/31/17,19.3495,26.4745,30.0219,32.5875,18.822,15.4792,18.0487,36.0912,46.8782,30.0511, 
10/30/17,19.3417,26.4554,29.9852,32.5395,18.7897,15.4782,18.0537,36.0557,46.5668,30.0094, 
10/27/17,19.341,26.4617,30.0058,32.569,18.8113,15.4754,17.9972,36.1686,46.9381,29.8696, 
10/26/17,19.3182,26.408,29.9067,32.4433,18.7297,15.4744,17.9686,35.8795,46.6428,29.8892, 
10/25/17,19.3125,26.3945,29.8812,32.4104,18.7077,15.4734,17.9764,35.834,46.4786,29.8732, 
10/24/17,19.3291,26.4349,29.9576,32.5082,18.7717,15.4725,18.0084,36.0015,46.7515,29.927, 
10/23/17,19.3262,26.4273,29.9424,32.4886,18.7584,15.4715,18.0323,35.9423,46.6556,29.9553, 
10/20/17,19.3352,26.455,30.0006,32.5651,18.8098,15.4687,18.0153,36.0848,46.9713,29.9691, 
10/19/17,19.328,26.4353,29.9608,32.5135,18.7751,15.4677,18.062,35.8988,46.7239,30.0936, 
10/18/17,19.3226,26.4241,29.9421,32.4904,18.7606,15.4668,18.0452,35.8841,46.7598,30.0155, 
10/17/17,19.3184,26.4123,29.9176,32.4584,18.7387,15.4658,18.0827,35.856,46.6423,29.946, 
10/16/17,19.3215,26.4222,29.9388,32.4866,18.758,15.4648,18.0733,35.8322,46.7419,30.0728, 
10/13/17,19.3159,26.4106,29.9188,32.462,18.742,15.462,18.0961,35.7688,46.7262,30.0628, 
10/12/17,19.306,26.3899,29.8836,32.4183,18.7145,15.461,18.0564,35.7367,46.76,29.9359, 
10/11/17,19.3058,26.3918,29.8895,32.4262,18.72,15.4601,18.0388,35.7938,46.7921,29.8837, 
10/10/17,19.2993,26.377,29.8629,32.3929,18.6985,15.4591,18.0373,35.7288,46.7748,29.8487, 
10/6/17,19.2832,26.3441,29.8072,32.3239,18.6547,15.4553,18.0083,35.7093,46.8613,29.58, 
10/5/17,19.2864,26.3522,29.8227,32.3439,18.6677,15.4543,18.0264,35.7366,46.914,29.5978, 
10/4/17,19.2742,26.3221,29.7655,32.2712,18.6201,15.4534,18.0442,35.5299,46.7546,29.6481, 
10/3/17,19.2712,26.3157,29.7548,32.2581,18.6119,15.4524,18.0452,35.4832,46.7725,29.6579, 
10/2/17,19.2597,26.2892,29.7059,32.1961,18.5715,15.4514,18.0353,35.4051,46.658,29.56, 
9/29/17,19.2461,26.256,29.6461,32.1193,18.5206,15.4496,18.0354,35.2685,46.2275,29.5957, 
9/28/17,19.2289,26.2141,29.5712,32.0247,18.459,15.4478,18.0365,35.1376,46.1071,29.4395, 
9/27/17,19.2171,26.1859,29.521,31.9611,18.4176,15.447,18.0233,35.088,46.0052,29.2906, 
9/26/17,19.2048,26.1498,29.4501,31.8682,18.3545,15.4461,18.0898,34.9455,45.4719,29.273, 
9/25/17,19.2114,26.1679,29.4839,31.9112,18.3825,15.4452,18.0942,34.9404,45.4025,29.4869, 
9/22/17,19.2155,26.1853,29.5213,31.9603,18.4156,15.4425,18.0532,35.018,45.4259,29.5932, 
9/21/17,19.2057,26.1621,29.4802,31.9078,18.3813,15.4416,18.0385,34.9949,45.2755,29.4688, 
9/20/17,19.2193,26.1988,29.5486,31.9953,18.4386,15.4407,18.0356,35.1006,45.3662,29.6496, 
9/19/17,19.2149,26.1865,29.5248,31.9642,18.4174,15.4398,18.061,35.0785,45.2028,29.5994, 
9/18/17,19.2053,26.1629,29.4826,31.911,18.3829,15.4389,18.0625,35.0394,45.2313,29.4248, 
9/15/17,19.1962,26.1418,29.4451,31.863,18.351,15.4362,18.0803,34.9873,44.9789,29.3879, 
9/14/17,19.186,26.1166,29.3995,31.8048,18.3127,15.4354,18.0802,34.9185,44.8077,29.3087, 
9/13/17,19.1905,26.1297,29.425,31.8377,18.3345,15.4345,18.0749,34.9456,44.8407,29.3994, 
9/12/17,19.1917,26.133,29.4311,31.8456,18.3396,15.4336,18.0897,34.9188,44.8229,29.4743, 
9/11/17,19.1792,26.1,29.3692,31.7661,18.2867,15.4327,18.1192,34.7997,44.559,29.4021, 
9/8/17,19.1438,26.0085,29.2012,31.5523,18.1462,15.43,18.1714,34.4263,44.0654,29.2231, 
9/7/17,19.1433,26.0077,29.2,31.5505,18.1447,15.4291,18.1783,34.4763,44.0255,29.153, 
9/6/17,19.1324,25.9843,29.1614,31.503,18.1151,15.4282,18.1356,34.4745,44.1591,28.9302, 
9/5/17,19.1255,25.9654,29.1258,31.4577,18.0851,15.4274,18.1704,34.3669,44.0996,28.9076, 
9/1/17,19.1419,26.019,29.2336,31.5982,18.1795,15.4237,18.0898,34.6281,44.5652,28.9834, 
8/31/17,19.1313,25.9903,29.1797,31.5288,18.1332,15.4228,18.1218,34.5553,44.3403,28.8694, 
8/30/17,19.1038,25.9222,29.0571,31.3728,18.0312,15.4219,18.0978,34.3572,43.8878,28.6886, 
8/29/17,19.0929,25.895,29.0078,31.3099,17.9899,15.4209,18.1023,34.1909,43.5748,28.7883, 
8/28/17,19.0922,25.8956,29.0109,31.3146,17.9935,15.42,18.0886,34.1572,43.5765,28.8662, 
8/25/17,19.0854,25.8829,28.9917,31.2913,17.9789,15.4171,18.0771,34.1392,43.541,28.8189, 
8/24/17,19.0731,25.8541,28.9412,31.2277,17.9377,15.4161,18.0573,34.0786,43.4287,28.6945, 
8/23/17,19.0779,25.8664,28.963,31.2546,17.9546,15.4152,18.0746,34.1484,43.3572,28.7223, 
8/22/17,19.0819,25.8805,28.9918,31.2917,17.9793,15.4142,18.0374,34.264,43.4044,28.7056, 
8/21/17,19.0539,25.8081,28.8592,31.1232,17.8689,15.4133,18.0618,33.9255,42.9622,28.6598, 
8/18/17,19.0472,25.796,28.8414,31.102,17.8559,15.4104,18.048,33.8853,42.9619,28.6429, 
8/17/17,19.0483,25.8,28.8497,31.1128,17.8631,15.4095,18.0474,33.9465,43.0111,28.5811, 
8/16/17,19.0957,25.9254,29.0818,31.4089,18.0573,15.4085,18.0245,34.4772,43.744,28.7765, 
8/15/17,19.0827,25.8961,29.0316,31.3459,18.0169,15.4076,17.9868,34.4186,43.6387,28.6578, 
8/14/17,19.0909,25.9161,29.0677,31.3925,18.0475,15.4066,18.0225,34.4277,43.8753,28.7388, 
8/11/17,19.056,25.8296,28.9118,31.1948,17.9182,15.4038,18.0338,34.0837,43.3365,28.6214, 
8/10/17,19.0494,25.8147,28.8862,31.1625,17.8973,15.4028,18.0204,34.0381,43.2192,28.6043, 
8/9/17,19.0988,25.9447,29.1267,31.4697,18.099,15.4019,18.008,34.5256,43.9537,28.908, 
8/8/17,19.1058,25.967,29.172,31.5295,18.1398,15.4009,17.9742,34.534,44.2411,29.0615, 
8/7/17,19.1164,25.9939,29.221,31.5919,18.1804,15.4,17.9989,34.6133,44.3847,29.1434, 
8/4/17,19.1055,25.9708,29.1825,31.5443,18.15,15.3971,17.9891,34.5552,44.3499,29.0524, 
8/3/17,19.1051,25.9683,29.1763,31.5356,18.1434,15.3962,18.0256,34.4901,44.1624,29.1658, 
